Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude
@TMCPoldaMetro,"13.33 Situasi arus lalu lintas di ruas Tol JORR KM 18+000 Pondok Pinang menuju arah Fatmawati terpantau padat, sedangkan arah sebaliknya ramai lancar. https://t.co/ISsq9foNDB",6/4/2022 6:33,in,,6,2,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,12.14 Situasi arus lalu lintas di Tol Jagorawi KM 01+600 Cililitan terpantau ramai lancar. https://t.co/bhbMbL3YVQ,6/4/2022 5:14,in,,7,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,11.48 Situasi arus lalu lintas di Tol Jakarta-Cikampek KM 06+000 terpantau ramai lancar. https://t.co/BzgLMzQP3p,6/4/2022 4:48,in,,14,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,09.41 Situasi arus lalu lintas di Tol JORR KM 10+000 terpantau ramai lancar. https://t.co/6LuC50C1IB,6/4/2022 2:41,in,,6,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,09.09 Situasi arus lalu lintas di Tol Dalam Kota KM 09+600 Semanggi terpantau ramai lancar. https://t.co/cnbj810uJl,6/4/2022 2:09,in,,4,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,07.40 Situasi arus lalu lintas di Traffic Light Utan Kayu Jaktim menuju arah Matraman maupun arah Rawamangun terpantau ramai lancar. https://t.co/1TFKsTijgf,6/3/2022 0:40,in,,4,3,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,07.25 Situasi arus lalu lintas di Exit Tol Tegal Parang menuju arah Jl. Tendean maupun arah Kuningan terpantau ramai lancar. https://t.co/tfL3oUTtlm,6/3/2022 0:25,in,,8,3,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,19.15 Situasi arus lalu lintas di Tl. Slipi dari Senayan menuju Tl. Slipi baik protokol maupun Tol Dalam Kota terjadi kepadatan dan arah sebaliknya menuju Pancoran juga terjadi kepadatan di malam hari ini. https://t.co/tOrW69gaKl,6/2/2022 12:15,in,,6,2,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,"19.12 Situasi arus lalu lintas di Bundaran Patung Kuda Monas dari Thamrin menuju Harmoni, Budi Kemuliaan, dan Gambir maupun arah sebaliknya terpantau ramai lancar di malam hari ini. https://t.co/PHbwy0AEcW",6/2/2022 12:12,in,,6,2,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,10.27 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 11+000 (Slipi) menuju arah Tomang maupun arah Semanggi terpantau ramai lancar. https://t.co/k2oDFz5WjK,6/1/2022 3:27,in,,3,3,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,09.15 Situasi arus lalu lintas di Ruas Tol Jakarta-Tangerang-Cengkareng KM 31+400 menuju arah Bandara Soetta maupun arah Sebaliknya terpantau ramai lancar. https://t.co/U8f0c8kIHS,6/1/2022 2:16,in,,7,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,08.54 Situasi arus lalu lintas di Traffic Light Permai Jl. Yos Sudarso Jakut menuju arah Sunter maupun arah Tanjung Priok terpantau ramai lancar. https://t.co/Qo1rXGK75f,6/1/2022 1:54,in,,2,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,08.30 Situasi arus lalu lintas di Ruas Tol Jakarta-Tangerang KM 07+800 menuju arah Tomang maupun arah Sebaliknya terpantau ramai lancar. https://t.co/aRSCz0dWqU,6/1/2022 1:30,in,,1,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,08.00 #Polri Satlantas Bandara Soetta melaksanakan Live Report Situasi arus lalu lintas di Areal Dropzone Terminal 2 Keberangkatan Bandara Internasional Soekarno Hatta terpantau ramai lancar. https://t.co/AFSDo3WaAZ,5/31/2022 1:03,in,,7,3,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,07.49 Situasi arus lalu lintas di Traffic Light Sarinah Jakpus menuju arah Tanah Abang maupun arah Jl. Jendral Sudirman terpantau ramai lancar. https://t.co/KxFAEkxgjT,5/31/2022 0:49,in,,8,2,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,07.38 Situasi arus lalu lintas di Traffic Light Halim Baru Jaktim menuju arah Pancoran terpantau padat. https://t.co/59315vxc9f,5/31/2022 0:38,in,,6,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,07.12 Situasi arus lalu lintas di Ruas Tol Dalam Kota KM 07+400 (Semanggi) maupun Jalur Contraflow terpantau ramai lancar. https://t.co/5KOMcHLdBO,5/31/2022 0:12,in,,6,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,07.02 Situasi arus lalu lintas di Traffic Light Fatmawati Jaksel menuju arah Panglima Polim terpantau ramai lancar. https://t.co/LMrdeLODfL,5/31/2022 0:02,in,,5,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,06.54 Situasi arus lalu lintas di Traffic Light Matraman Jaktim menuju arah Jatinegara terpantau ramai lancar. https://t.co/XEEyQ3f463,5/30/2022 23:54,in,,15,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,06.42 Situasi arus lalu lintas di Traffic Light Tugu Tani Jakpus menuju arah Jl. Medan Merdeka Selatan maupun arah Kwitang terpantau ramai lancar. https://t.co/D6kncIt7u4,5/30/2022 23:43,in,,4,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587651,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,08.33 Situasi arus lalu lintas di Exit Tol Rorotan menuju arah Tanjung Priok terpantau lancar. https://t.co/OEMc7NHt9w,5/29/2022 1:33,in,,3,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,21.14 Situasi arus lalu lintas di ruas Tol JORR KM 19+300 terpantau padat. https://t.co/XoG9P8dLUX,5/27/2022 14:14,in,,1,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,19.46 Situasi arus lalu lintas di Traffic Light JICT Tanjung Priok Jakut terpantau ramai lancar. https://t.co/F0IWWJc6Nn,5/26/2022 12:47,in,,8,4,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,19.17 Situasi arus lalu lintas di Traffic Light Tugu Tani Jakpus terpantau ramai lancar. https://t.co/yQ1556cBre,5/26/2022 12:17,in,,4,2,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
@TMCPoldaMetro,18.27 Situasi arus lalu lintas di Traffic Light Pancoran Jaksel menuju arah Cawang maupun arah Kalibata terpantau ramai lancar. https://t.co/UWQ83jZFji,5/26/2022 11:28,in,,4,1,,TMC Polda Metro Jaya,Traffic Management Center Jakarta Metropolitan Police Telp: 021-52960770,587652,121,0,8076622,9338,TRUE,,
